Lake,Assessment,year,inches,sex,age,pounds
Escanaba,Spring Fyke Net,2011,16.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.8,2,8,2
Escanaba,Spring Fyke Net,2011,18.3,1,9,1.81
Escanaba,Spring Fyke Net,2011,13.8,1,5,0.75
Escanaba,Spring Fyke Net,2011,18.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.5,2,NA,NA
Escanaba,Spring Fyke Net,2011,21.8,2,11,3
Escanaba,Spring Fyke Net,2011,16.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.3,2,5,1.25
Escanaba,Spring Fyke Net,2011,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.3,2,6,2
Escanaba,Spring Fyke Net,2011,16,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.6,1,10,1.31
Escanaba,Spring Fyke Net,2011,14,1,NA,NA
Escanaba,Spring Fyke Net,2011,12.3,1,4,0.5
Escanaba,Spring Fyke Net,2011,20.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.5,2,6,1.44
Escanaba,Spring Fyke Net,2011,16,2,6,1.44
Escanaba,Spring Fyke Net,2011,15.5,1,NA,NA
Escanaba,Spring Fyke Net,2011,15.6,1,NA,NA
Escanaba,Spring Fyke Net,2011,15,1,6,1
Escanaba,Spring Fyke Net,2011,22.9,2,12,4.5
Escanaba,Spring Fyke Net,2011,16.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,13,1,NA,NA
Escanaba,Spring Fyke Net,2011,17.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,12.3,1,4,0.38
Escanaba,Spring Fyke Net,2011,14.9,2,5,0.81
Escanaba,Spring Fyke Net,2011,14.6,1,NA,NA
Escanaba,Spring Fyke Net,2011,19.4,2,10,2.69
Escanaba,Spring Fyke Net,2011,20.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.1,1,NA,NA
Escanaba,Spring Fyke Net,2011,20.9,2,9,3.63
Escanaba,Spring Fyke Net,2011,18.9,2,8,2.5
Escanaba,Spring Fyke Net,2011,15.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,13.7,1,NA,NA
Escanaba,Spring Fyke Net,2011,16.5,2,NA,NA
